Team,xWins,Wins,Performance
Gosforth,0.606,1.0,0.394
Old Glory DC,0.606,1.0,0.394
ACT XV,1.607,2.0,0.393
Leicestershire Centenary XV,0.61,1.0,0.39
West Midlands,1.116,1.5,0.3839999999999999
Santa Fé,0.6170000000000001,1.0,0.3829999999999999
London Division,0.629,1.0,0.371
Wales Development XV,0.645,1.0,0.355
Birkenhead Park,0.648,1.0,0.352
Nicaragua,1.6520000000000001,2.0,0.34799999999999986
Northern Transvaal U20,0.655,1.0,0.345
Eastern Free State,0.656,1.0,0.344
Martinique,1.6600000000000001,2.0,0.33999999999999986
Headingley,0.662,1.0,0.33799999999999997
Democratic Republic of Congo,0.666,1.0,0.33399999999999996
Italy U21,0.671,1.0,0.32899999999999996
Bahrain,0.672,1.0,0.32799999999999996
Yorkshire Carnegie,0.175,0.5,0.325
Wales A,3.178,3.5,0.32200000000000006
Irish Development XV,0.678,1.0,0.32199999999999995
Italy XV,1.183,1.5,0.31699999999999995
Wanganui / King Country,0.6839999999999999,1.0,0.31600000000000006
Western Province Country,0.6849999999999999,1.0,0.31500000000000006
Chicago Hounds,0.69,1.0,0.31000000000000005
Welsh Clubs XV,0.6900000000000001,1.0,0.30999999999999994
Maesteg,0.191,0.5,0.309
South Africa Defence,0.699,1.0,0.30100000000000005
Emerging Australians,0.199,0.5,0.301
Esher,0.204,0.5,0.29600000000000004
Interior Selection,0.21100000000000002,0.5,0.289
Chinnor,11.713000000000001,12.0,0.28699999999999903
South & South West Counties,1.716,2.0,0.28400000000000003
Samoa President's XV,0.717,1.0,0.28300000000000003
Far Northern Transvaal,0.22,0.5,0.28
Gala,0.721,1.0,0.279
Provence Rugby,22.725,23.0,0.2749999999999986
France XV,0.732,1.0,0.268
Glamorgan U25,0.747,1.0,0.253
South India,0.752,1.0,0.248
Democratic Republic of Congo A,0.757,1.0,0.243
SRU President's XV,0.76,1.0,0.24
New Zealand XV,0.767,1.0,0.23299999999999998
English Students,2.7670000000000003,3.0,0.23299999999999965
Country XV,0.769,1.0,0.23099999999999998
Bridgend,1.2719999999999998,1.5,0.2280000000000002
Oxfordshire,0.776,1.0,0.22399999999999998
Surrey,0.27699999999999997,0.5,0.22300000000000003
Gloucestershire,0.78,1.0,0.21999999999999997
Nadroga,0.782,1.0,0.21799999999999997
New South Wales B,0.784,1.0,0.21599999999999997
Chiefs Development XV,4.79,5.0,0.20999999999999996
South Western Counties,0.793,1.0,0.20699999999999996
Free State Country,0.804,1.0,0.19599999999999995
Pembrokeshire,0.806,1.0,0.19399999999999995
South Canterbury,2.812,3.0,0.18800000000000017
Penguin International RFC,0.813,1.0,0.18700000000000006
Eastern Union,0.825,1.0,0.17500000000000004
Mpumalanga,0.32699999999999996,0.5,0.17300000000000004
Egypt,1.828,2.0,0.17199999999999993
Western Force A,2.829,3.0,0.17099999999999982
Gloucestershire-Somerset,0.8339999999999999,1.0,0.16600000000000015
Aberavon,1.8359999999999999,2.0,0.16400000000000015
New Zealand Army,0.839,1.0,0.16100000000000003
Glasgow / Edinburgh,0.8430000000000001,1.0,0.15699999999999992
Dinamo Bucuresti,0.851,1.0,0.14900000000000002
Combined Clubs XV,0.358,0.5,0.14200000000000002
Queensland U20,0.863,1.0,0.137
